"Part";"Value";"Device";"Package";"Description";"DNAME";"REVNUM";
"C25";"10uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C26";"0.01uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C27";"1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C28";"0.01uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C29";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C30";"0.01uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C31";"10uF";"CAPACITOR_NON_POLAR1206";"1206";"Capacitor Non Polarized";"";"";
"C32";"10uF";"CAPACITOR_NON_POLAR1206";"1206";"Capacitor Non Polarized";"";"";
"C33";"10uF";"CAPACITOR_NON_POLAR1206";"1206";"Capacitor Non Polarized";"";"";
"C34";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C35";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C36";"10uF";"CAPACITOR_NON_POLAR1206";"1206";"Capacitor Non Polarized";"";"";
"C37";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C38";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C39";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C40";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C41";"10uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C42";"10uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C43";"10uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C44";"10uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C45";"470uF";"CAPACITOR_POLARIZEDCASE_D";"CASE_D";"Polarized capacitors";"";"";
"C46";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C47";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C48";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C49";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C50";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C51";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C52";"0.1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"C53";"470uF";"CAPACITOR_POLARIZEDCASE_D";"CASE_D";"Polarized capacitors";"";"";
"C54";"1uF";"CAPACITOR_NON_POLAR0402";"0402";"Capacitor Non Polarized";"";"";
"D1";"598-8070-107F";"LED_SINGLE0402";"LED_0402";"";"";"";
"D2";"598-8070-107F";"LED_SINGLE0402";"LED_0402";"";"";"";
"D3";"PMEG6030EP,115";"DIODESOD-128";"SOD-128";"Diode - Single";"";"";
"D4";"NUP2105LT1G";"TVS_DIODE_DUALSOT-23";"SOT-23";"";"";"";
"D5";"NUP2105LT1G";"TVS_DIODE_DUALSOT-23";"SOT-23";"";"";"";
"D6";"NUP2105LT1G";"TVS_DIODE_DUALSOT-23";"SOT-23";"";"";"";
"D7";"NUP2105LT1G";"TVS_DIODE_DUALSOT-23";"SOT-23";"";"";"";
"D8";"NUP2105LT1G";"TVS_DIODE_DUALSOT-23";"SOT-23";"";"";"";
"D9";"NUP2105LT1G";"TVS_DIODE_DUALSOT-23";"SOT-23";"";"";"";
"D10";"NUP2105LT1G";"TVS_DIODE_DUALSOT-23";"SOT-23";"";"";"";
"D11";"NUP2105LT1G";"TVS_DIODE_DUALSOT-23";"SOT-23";"";"";"";
"D12";"598-8070-107F";"LED_SINGLE0402";"LED_0402";"";"";"";
"FU";"";"PH_1X09PTH";"HEADER_01X09_PTH";"";"";"";
"J1";"10118193-0001LF";"USB10118193-0001LF";"10118193-0001LF";"";"";"";
"J2";"";"PH_1X04HEADER_PTH";"HEADER_01X04_PTH";"4 Pin Connectors";"";"";
"L1";"MI0603K300R-10";"RESISTOR0603";"0603";"Resistors";"";"";
